email,mood,text,timestamp
jyo@gmail.com,Happy,gytiioggfur,2025-05-08T05:21:05.528Z
jyo@gmail.com,Confused,gytiioggfur,2025-05-08T11:32:57.125Z
jyo@gmail.com,Confused,nsjhb,2025-05-12T17:45:36.887Z
jyo@gmail.com,Sad,far,2025-05-12T17:46:07.590Z
jyo@gmail.com,Confused,nivjspor,2025-05-13T05:21:14.390Z
jyo@gmail.com,Sad,jhoifwej,2025-05-13T06:21:19.929Z
jyo@gmail.com,Sad,nvhih,2025-05-21T06:40:15.486Z
jyo@gmail.com,Sad,kj;aje[rp,2025-05-24T13:52:19.591Z
test@gmail.com,Angry,jjhhvolsjrot,2025-05-24T13:52:50.299Z
test@gmail.com,Happy,jvlihr,2025-05-24T18:04:15.351Z
